text,top_class,hate_speech,offensive_language,neither
When is the event?,neither,0.03543214120455524,0.3618641040239918,0.602703754771453
@jadedmantis9548 good one 😂 fuckin dummy,offensive_language,0.07394311043162594,0.9098235357568834,0.016233353811490634
doctorWARCRY doctorWARCRY doctorWARCRY doctorWARCRY doctorWARCRY doctorWARCRY doctorWARCRY doctorWARCRY,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@drdisrespect hey bud I need a small loan of $2000 to give to @wipz :),neither,0.047379926954218665,0.324837952893802,0.6277821201519792
tatChair,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Go in the meteor,neither,0.03997947271230358,0.3056112477842783,0.6544092795034181
no geysers,neither,0.036918905254960256,0.37338982715841207,0.5896912675866277
@kingvelarde55 https://streamelements.com/wipz/tip you know what to do,neither,0.06857132679610106,0.360001577033261,0.571427096170638
@agcamacho click the sub button at the top 4Head,neither,0.037726300573985246,0.32452175785886667,0.637751941567148
have a seat,neither,0.038703214787426395,0.3431054377156541,0.6181913474969195
YAYAYAYAYAYAYAYA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
whats going on here wheres the Tim spirit,neither,0.06086446476476205,0.32314692524396693,0.615988609991271
why are people watching this guy,neither,0.08400120649926208,0.30631140897151354,0.6096873845292243
OPEN CHAT?? wolfLove wolfLove wolfLove wolfLove,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"From one Man to another Man, good job on shaving the head. I was worried about you for a minute @timthetatman",neither,0.06733491962874551,0.39474449569978337,0.5379205846714711
Is there an event? lol,neither,0.039045598784047446,0.3329341500954652,0.6280202511204874
@webers9 WEB😡,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
NO,neither,0.036918905254960256,0.37338982715841207,0.5896912675866277
@kingvelarde55 https://streamelements.com/wipz/tip WeirdChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
straight down,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@kingvelarde55 hey sub to me :),neither,0.03789447285124974,0.3686501714812218,0.5934553556675285
@kingvelarde55 https://streamelements.com/wipz/tip,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
frosty has no mbility aswell,neither,0.03866035533232711,0.34383287452295364,0.6175067701447193
tatGlam tatGlam tatGlam,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
D: Suck poop,neither,0.06647097895096041,0.3398485674334803,0.5936804536155592
I LOVE YOU TIMTHEFATMAN,offensive_language,0.079837142191777,0.5038574454704381,0.4163054123377849
"yungmoneypistol subscribed at Tier 1. They've subscribed for 7 months, currently on a 7 month streak!",neither,0.02239512321462605,0.3238220280209259,0.653782848764448
tatW Welcome back yungmoneypistol tatW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!downtime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
AYAYA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"xMomo17 subscribed with Twitch Prime. They've subscribed for 13 months, currently on a 13 month streak!",neither,0.022582149989939095,0.33033192086212776,0.6470859291479332
tatPrime Welcome back xMomo17 tatPrime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@kingvelarde55 give 2.50 EZ Clap,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TRASH SEASON,neither,0.04255210517624399,0.08659358365475747,0.8708543111689985
This glider weird,neither,0.03930790394090107,0.3328422846682519,0.6278498113908471
Man the meta has changed so much so fast,neither,0.03615469860977421,0.43018420351500486,0.533661097875221
80 miles out,neither,0.03524971573391776,0.34649399860576974,0.6182562856603125
wait so they only changed dusty?,neither,0.03941570399758254,0.3664293874125738,0.5941549085898437
@DrDisrespect you suck at cod,neither,0.08849890604162998,0.41826912263251137,0.4932319713258587
vaulted re-deploy btw,neither,0.0654415340882147,0.29203806486529343,0.6425204010464918
SEASON X IS CRAP,neither,0.04874699054250495,0.32295056039182934,0.6283024490656658
PepeShake,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Squid1 Squid2 Squid3 Squid4,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@im_parked_out_by_the_lake wtf LUL,offensive_language,0.04231805002032073,0.5786253524025317,0.3790565975771476
why is everything so colorful in this update,neither,0.03583962886711465,0.37471406309901817,0.5894463080338671
@kingvelarde55 im waiting :),neither,0.03824227701905851,0.37629302133523346,0.5854647016457082
@pad_thebestgame pad trash,neither,0.04205267118425284,0.133297843852114,0.8246494849636332
hi if i donated will tim read it rn ?,neither,0.028469707564730082,0.3493754114671446,0.6221548809681253
@youallarebots holy f 200 IQ,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@DrDisrespect doesnt need a mech he is the two time,neither,0.05094642377366168,0.3182270965124203,0.6308264797139181
!time,neither,0.036668274527354654,0.377643684699956,0.5856880407726893
Has anyone ever enjoyed this game?,neither,0.039134934579035024,0.2940278799066042,0.6668371855143608
@gamerking2024 Tim's local time is: 09:12:46 AM (EDT),neither,0.0431737312840565,0.34001033564368865,0.6168159330722549
theres an uzi in the game?,neither,0.03852210854565938,0.2816752509582736,0.679802640496067
@Assface03 every season since like 4 has been trash,neither,0.05151484349023386,0.17136039489887678,0.7771247616108894
Mobility SUCKSSSS ughhhhh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@kingvelarde55 5Head,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@TimTheTatman You can dance in the Mech,neither,0.06071695141707607,0.36018223832766366,0.5791008102552603
PogU,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
imagine your name being assface,neither,0.06412000390733676,0.34996274398391275,0.5859172521087506
DANCE!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Map will change throughout the season,neither,0.040039046502087935,0.2936865483765032,0.6662744051214089
@Oattmeal more appealing for kids,neither,0.03551217095467339,0.29444977800381966,0.6700380510415069
WTF IS THIS,offensive_language,0.05875134067276458,0.7027317341486384,0.23851692517859707
@brownsugar1686 such a rebel you are!,neither,0.0980980954154962,0.32202809221854695,0.5798738123659568
Chat top d to wipz for me tatKevinS tatKevinS tatKevinS tatKevinS tatKevinS tatKevinS tatKevinS tatKevinS,neither,0.03238116796303944,0.3358034284663234,0.6318154035706373
swoop,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
pgguy83 subscribed with Twitch Prime. They've subscribed for 9 months!,neither,0.017135853092050617,0.3228815153557895,0.6599826315521599
@DrDisrespect has two mechs on each arm.,neither,0.03786168353578215,0.327011846839646,0.6351264696245719
tatPrime Welcome back pgguy83 tatPrime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@webers9 tatSuh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@drdisrespect good luck today champ doctorHANDSHAKE doctorHANDSHAKE doctorHANDSHAKE doctorHANDSHAKE,neither,0.037662821150970686,0.3114140749859026,0.6509231038631267
DELETE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LULW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
JUMP @TimTheTatman,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LuL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@brownsugar1686 Where are your cod clips?,neither,0.10202929725260125,0.2548320566871801,0.6431386460602185
LULW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
delete,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
self destruct,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@im_parked_out_by_the_lake KKonaGuys,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Tim Teaming LOL,neither,0.03009179247183033,0.39967238447864833,0.5702358230495214
Did anything happen to the map?? @timthetatman @wipz,neither,0.044019632938689476,0.3144204186571169,0.6415599484041936
point towards your team so he can kill everyone 4Head,neither,0.3180862285557762,0.30958832854060486,0.3723254429036191
"Luckily they’re changing the map every week starting with tilted, then lazy, then greasy",neither,0.040780083153771254,0.32688121426,0.6323387025862287
what am i watching im dead,neither,0.04369177054976068,0.3584395231552929,0.5978687062949463
"back to back, 92-93 blockbuster videogame CHAMPION",neither,0.04367997269833007,0.32787761582252556,0.6284424114791444
self destruct,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
IT WILL FOR TAKE 2 DAYS FOR MY UPDATE HELLLOOOO :(,neither,0.02353516052741504,0.330913041705615,0.64555179776697
@AMili_ with your mom,neither,0.06284427084516801,0.3759305742998376,0.5612251548549945
chase its a robot,neither,0.03412156745251214,0.33220988389057293,0.633668548656915
LULW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
dance in the mech!,neither,0.03824326050450305,0.30803516360915495,0.6537215758863419
hold space bar,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
wtf,offensive_language,0.04410695246022759,0.7898861884776351,0.16600685906213722
this game is so bad,neither,0.04382258501408238,0.33112492915032576,0.6250524858355918
PepeLaugh HE DOESNT KNOW,neither,0.046276578848099506,0.3280292180962591,0.6256942030556413
WhatsUpTimmy subscribed at Tier 1. They've subscribed for 17 months!,neither,0.020366740168760892,0.3138982375517927,0.6657350222794465
tatW Welcome back WhatsUpTimmy tatW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
heyyyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
that's gotta be the dumbest mechanic i've ever seen,neither,0.019608718826658714,0.3589352613648941,0.6214560198084471
what the hell forntnite....,offensive_language,0.050756227603987104,0.8441747964024495,0.1050689759935634
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
he can press delete actually,neither,0.044288837883878024,0.3248662316073376,0.6308449305087844
HES READY,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
DO IT LULW,neither,0.039361844991312706,0.33040751214889547,0.6302306428597919
LULW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
monkaW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
monkaW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
gg,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
monkaW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hold the jump button,neither,0.03867975594059287,0.3162763380264074,0.6450439060329998
tatKKevin,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
monkaW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
